tag,question,clarification,scale
v2clsocgrp,"Do all social groups, as distinguished by language, ethnicity, religion, race, region, or caste, enjoy the same level of civil liberties, or are some groups generally in a more favorable position?","Here, civil liberties are understood to include access to justice, private property rights, freedom of movement, and freedom from forced labor.","Ordinal, converted to interval by the measurement model."
v2xpe_exlecon,Index of (political) exclusion by socio-economic group,"Exclusion is when individuals are denied access to services or participation in governed spaces (spaces that are part of the public space and the government should regulate, while excluding private spaces and organizations except when exclusion in those private spheres is linked to exclusion in the public sphere)  based on their identity or belonging to a particular group. The point estimates for this index have been reversed such that the directionality is opposite to the input variables. That is, lower scores indicate a normatively better situation (e.g. more democratic) and higher scores a normatively worse situation (e.g. less democratic). Note that this directionality is opposite of that of other V-Dem indices, which generally run from normatively worse to better.","Interval, from low to high (0-1)"
v2cacamps,"Is society polarized into antagonistic, political camps?","Here we refer to the extent to which political differences affect social relationships beyond political discussions. Societies are highly polarized if supporters of opposing political camps are reluctant to engage in friendly interactions, for example, in family functions, civic associations, their free time activities and workplaces","Ordinal, converted to interval by the measurement model."
v2caassemb,To what extent do state authorities respect and protect the right of peaceful assembly?,"This question focuses on the ability to assemble publically in practice. An assembly is “an intentional and temporary presence of a number of individuals in a public place, for a common expressive purpose” (ODIHR and Venice Commission of the Council of Europe 2010). Authorities may limit the right to assembly only if limitations are necessary in the interests of national security or public safety, public order, the protection of public health or morals, or the protection of the rights and freedoms of others, and are lawful, necessary, and proportionate to the aim pursued. Such reasonable and legal restrictions should not be considered when answering. However, if there is evidence that restrictions are used as a pretext for political reasons, this evidence should be considered.","Ordinal, converted to interval by the measurement model."
v2caautmob,"In this year, how frequent and large have events of mass mobilization for pro-autocratic aims been?","Events are pro-autocratic if they are organized explicitly in support of non-democratic rulers and forms of government such as a one-party state, monarchy, theocracy or military dictatorships. Events are also pro-autocratic if they are organized in support of leaders that question basic principles of democracy, or are generally are aiming to undermine democratic ideas and institutions such as the rule of law, free and fair elections, or media freedom. This question concerns the mobilization of citizens for mass events such as demonstrations, strikes, sit. These events are typically organized by non-state actors, but the question also concerns also count state-orchestrated rallies (e.g. to show support of an autocratic government).","Ordinal, converted to interval by the measurement model."
v2castate,"What share of the population is regularly active in state-administered mass associations, such as women, worker or youth leagues?","State-administered mass associations are civilian organizations created and led by the government or the ruling party. Large shares of specific societal groups are voluntary or compulsory members of these associations. Examples include youth leagues such as the Hitlerjugend in Nazi Germany and the pioneers in the Soviet Union, women leagues such as the Women’s Federation in China or the Federacion de Mujeres Cubanas and official trade unions in the Soviet Union. Such organizations are formally or informally affiliated with the state and/or with the ruling party. We consider an individual as active if they attend a meeting, activity or event at least twice a year.","Ordinal, converted to interval by the measurement model."
v2csantimv,"Among civil society organizations, are there anti-system opposition movements?","An anti-system opposition movement is any movement --- peaceful or armed --- that is based in the country (not abroad) and is organized in opposition to the current political system. That is, it aims to change the polity in fundamental ways, \textit{e.g.}, from democratic to autocratic (or vice-versa), from capitalist to communist (or vice-versa), from secular to fundamentalist (or vice-versa). This movement may be linked to a political party that competes in elections but it must also have a ""movement"" character, which is to say a mass base and an existence separate from normal electoral competition.\\ 
If there are several movements, please answer in a general way about the relationship of those movements to the regime.","Ordinal, converted to interval by the measurement model."
v2lginvstp,"If the executive were engaged in unconstitutional, illegal, or unethical activity, how likely is it that a legislative body (perhaps a whole chamber, perhaps a committee, whether aligned with government or opposition) would conduct an investigation that would result in a decision or report that is unfavorable to the executive?",NA,"Ordinal, converted to interval by the measurement model."
v2xcl_disc,Are citizens able to openly discuss political issues in private homes and in public spaces?,"This indicator specifies the extent to which citizens are able to engage in private discussions, particularly on political issues, in private homes and public spaces restaurants, public transportation, sports events, work etc. without fear of harassment by other members of the polity or the public authorities. We are interested in restrictions by the government and its agents but also cultural restrictions or customary laws that are enforced by other members of the polity, sometimes in informal ways.","Interval, from low to high (0-1)."
v2elsuffrage,What percentage (\%) of adult citizens (as defined by statute) has the legal right to vote in national elections?,"This question does not take into consideration restrictions based on age, residence, having been convicted for crime, being in the military service or being legally incompetent. It covers legal (\textit{de jure}) restrictions, not restrictions that may be operative in practice (\textit{de facto}). The adult population (as defined by statute) is defined by citizens in the case of independent countries or the people living in the territorial entity in the case of colonies. \\ 
Universal suffrage is coded as 100\%. Universal male suffrage is only coded as 50\%. Years before electoral provisions are introduced are scored 0\%. The scores do not reflect whether an electoral regime was interrupted or not. Only if new constitutions, electoral laws, or the like explicitly introduce new regulations of suffrage, the scores were adjusted accordingly if the changes suggested doing so. If qualifying criteria other than gender apply (such as property, tax payments, income, literacy, region, race, ethnicity, religion, and/or 'economic independence'), estimates have been calculated by combining information on the restrictions with different kinds of statistical information (on population size, age distribution, wealth distribution, literacy rates, size of ethnic groups, etc.), secondary country-specific sources, and --- in the case of very poor information --- the conditions in similar countries or colonies.\\ 
The scores reflect \textit{de jure} provisions of suffrage extension in percentage of the adult population. If the suffrage law is revised in a way that affects the extension, the scores reflect this change as of the calendar year the law was enacted.",Interval.
v2x_delibdem,To what extent is the ideal of deliberative democracy achieved?,"The deliberative principle of democracy focuses on the process by which decisions are reached in a polity. A deliberative process is one in which public reasoning focused on the common good motivates political decisions—as contrasted with emotional appeals, solidary attachments, parochial interests, or coercion. According to this principle, democracy requires more than an aggregation of existing preferences. There should also be respectful dialogue at all levels—from preference formation to final decision—among informed and competent participants who are open to persuasion. To make it a measure of not only the deliberative principle but also of democracy, the index also takes the level of electoral democracy into account.","Interval, from low to high (0-1)."
v2xcl_rol,"To what extent are laws transparent and rigorously enforced and public administration impartial, and to what extent do citizens enjoy access to justice, secure property rights, freedom from forced labor, freedom of movement, physical integrity rights, and freedom of religion?",NA,"Interval, from low to high (0-1)."
v2x_egaldem,To what extent is the ideal of egalitarian democracy achieved?,"The egalitarian principle of democracy holds that material and immaterial inequalities inhibit the exercise of formal rights and liberties, and diminish the ability of citizens from all social groups to participate.  Egalitarian democracy is achieved when 1 rights and freedoms of individuals are protected equally across all social groups; and 2 resources are distributed equally across all social groups; 3 groups and individuals enjoy equal access to power.   To make it a measure of egalitarian democracy, the index also takes the level of electoral democracy into account.","Interval, from low to high (0-1)."
v2x_elecreg,"At this time, are regularly scheduled national elections on course, as stipulated by election law or well-established precedent?","Coded 0 until an executive or legislative election is held, defined by v2xel\_elecpres and v2xel\_elecparl, then set to 1 until any of the following two events occur (if they occur): (a) that the election was ""aborted"", meaning that those elected did not resume power,  as defined by v2x\_hosabort and v2x\_legabort; or (b) an ""electoral interruption"", meaning that either the legislature was shut down, as defined by v2xlg\_leginter, or there was an executive coup, as defined by v2x\_hosinter; in the case of (a) or (b), v2x\_elecreg is set to 0 until there is another election. The operational indicator of an ”aborted” executive election (v2x\_hosabort) is that v2expathhs did not turn 7 within 12 months after the election, for a legislative election (v2x\_legabort) that v2lgbicam did not turn positive within 12 months after the election. An interruption of the electoral regime occurring through the HOS, \textit{e.g.} a coup d’état, is indicated by v2x\_hosinter as a change in v2xel\_elecpres, meaning v2expathhs turned from 7 to something else, with the exception of 6, approval by the legislature (in case the legislature remained in place). An interruption of the electoral regime occurring through the legislature is defined by v2xlg\_leginter based on v2lgbicam turning 0. We note that the coding of v2x\_elecreg does not merely follow mechanically from the scores on these other variables, as the coding of v2x\_elecreg has also been cross-checked and validated by research assistants. An executive and a legislative electoral regime cannot be separated since they form an integral part, where an aborted legislature is interpreted as a signal that also the executive is not standing for election any longer, and vice versa.",Dichotomous.
v2exrescon,"Do members of the executive (the head of state, the head of government, and cabinet ministers) respect the constitution?",NA,"Ordinal, converted to interval by the measurement model."
v2elrsthos,"Is the eligibility of candidates for the office of head of state (when elected) formally restricted (by constitution or statute) by ethnicity, race, religion, or language?","Language restriction should be understood as a restriction of spoken language, not literacy.",Dichotomous.
v2svindep,Is the polity an independent state?,"We use Gleditsch and Ward's (1999) coding of independent states. Their definition recognizes that listing independent states relies at least in part on subjective evaluations. A state is considered to be an independent polity if it (a) has a relatively autonomous administration over some territory, (b) is considered a distinct entity by local actors or the state it is dependent on. Polities excluded from the list are: colonies; states that have some form of limited autonomy (\textit{e.g.} Scotland); are alleged to be independent but are contiguous to the dominant entity (Ukraine and Belarus prior to 1991); \textit{de facto} independent polities but recognized by at most one other state (Turkish Republic of Northern Cyprus). Occupations or foreign rule are considered to be an actual loss of statehood when they extend beyond a decade. This means that cases such as the Baltic Republic during Soviet occupation are not considered independent states, but independent statehood is retained for European countries occupied during World War II.",Dichotomous.
v2x_pubcorr,"To what extent do public sector employees grant favors in exchange for bribes, kickbacks, or other material inducements, and how often do they steal, embezzle, or misappropriate public funds or other state resources for personal or family use?","The point estimates for this index have been reversed such that the directionality is opposite to the input variables. That is, lower scores indicate a normatively better situation (e.g. more democratic) and higher scores a normatively worse situation (e.g. less democratic). Note that this directionality is opposite of that of other V-Dem indices, which generally run from normatively worse to better.","Interval, from low to high (0-1)."
v2x_execorr,"How routinely do members of the executive, or their agents grant favors in exchange for bribes, kickbacks, or other material inducements, and how often do they steal, embezzle, or misappropriate public funds or other state resources for personal or family use?","The point estimates for this index have been reversed such that the directionality is opposite to the input variables. That is, lower scores indicate a normatively better situation (e.g. more democratic) and higher scores a normatively worse situation (e.g. less democratic). Note that this directionality is opposite of that of other V-Dem indices, which generally run from normatively worse to better.","Interval, from low to high (0-1)."
v2elprescons,How many consecutive presidential elections including the current election have been held since 1900?,"This counts the consecutive number of presidential elections since the last unconstitutional change of government or democratic breakdown, or 1900 whichever is more recent. Do not code if there is no office of the presidency.",NA
v2elprescumul,How many presidential elections including the current election have been held since 1900?,"This counts the cumulative number of presidential elections, regardless of any constitutional or unconstitutional changes and interruptions that may have taken place. Do not code if there is no office of the presidency. However, if there is a presidency, and no elections have ever occurred, this should be recorded as 0.","Interval, from low to high (0-1)."
v2x_clphy,To what extent is physical integrity respected?,"Physical integrity is understood as freedom from political killings and torture by the government. Among the set of civil liberties, these liberal rights are the most relevant for political competition and accountability. The index is based on indicators that reflect violence committed by government agents and that are not directly referring to elections.","Interval, from low to high (0-1)."
v2x_accountability,To what extent is the ideal of government accountability achieved?,"Government accountability is understood as constraints on the government's use of political power through requirements for justification for its actions and potential sanctions. We organize the sub-types of accountability spatially. Vertical accountability refers to the ability of a state's population to hold its government accountable through elections, horizontal accountability refers to checks and balances between institutions; and diagonal accountability captures oversight by civil society organizations and media activity.","We provide two versions of this index. The first is the normalized output from the the hierarchical latent variable analysis. It is on an unbounded interval scale. The second, denoted by *_osp, is a version of this output which we scale using a standard normal cumulative distribution function. It is thus scaled low to high (0-1)."
v2xcl_prpty,Do citizens enjoy the right to private property?,"Private property includes the right to acquire, possess, inherit, and sell private property, including land. Limits on property rights may come from the state which may legally limit rights or fail to enforce them; customary laws and practices; or religious or social norms. This question concerns the right to private property, not actual ownership of property.","Interval, from low to high (0-1)."
v2x_regime,How can the political regime overall be classified considering the competitiveness of access to power (polyarchy) as well as liberal principles?,NA,Ordinal.
v2xex_elecreg,"At this time, are regularly scheduled national elections on the executive on course, as stipulated by election law or well-established precedent?","Although we advice against it, since the executive and legislative electoral regime should be considered an integral part, for completeness we also provide this separate measure of executive electoral regimes. Coded 0 until an executive election is held, defined by v2x\_elecpres, then set to 1 until any of the following two events occur (if they occur): (a) that the election was ""aborted"", meaning that those elected did not resume power,  as defined by v2x\_hosabort; or (b) an ""electoral interruption"", meaning that there was an executive coup, as defined by v2x\_hosinter; in the case of (a) or (b), v2xex\_elecreg is set to 0 until there is another election.",Dichotomous.
v2x_mpi,To what extent is the electoral principle of democracy achieved?,The electoral principle of democracy seeks to achieve responsiveness and accountability between leaders and citizens through the mechanism of competitive elections. This is presumed to be achieved when suffrage is extensive; political and civil society organizations can operate freely; elections are clean and not marred by fraud or systematic irregularities; and the chief executive of a country is selected directly or indirectly through elections.,"Interval, from low to high (0-1)."
v2strenarm,To what extent are members of the armed forces salaried employees?,"By members of the armed forces, we mean members of all ranks, excluding conscripts. By ""salaried employee"", we mean someone who is employed on a contract and paid a regular allowance directly out of the state coffers. It does not include unpaid work, work paid for through a private collection of fees, material perquisites or bribes, or private employment by a higher-ranking ""patron"" within the armed forces.",NA
v2ex_hosw,Does the head of state HOS have more relative power than the head of government HOG over the appointment and dismissal of cabinet ministers?,NA,Nominal.
v2peapssoc,"Are basic public services, such as order and security, primary education, clean water, and healthcare, distributed equally across social groups?","This question asks if social group is an important cleavage in society for the distribution of public services. Thus, if there are inequalities in access to public services, but these are not mainly due to differentiation between particular social groups, the code should be “4” (equal). The situation could of course vary by type of public service, such that a social group is denied access to some basic public services but not others. Please base your response on whether access to most of the aforementioned services are distributed equally or unequally.","Ordinal, converted to interval by the measurement model."
e_regionpol,In which politico-geographic region is this country located?,"This is a tenfold politico-geographic classification of world regions, based on a mixture of two considerations: geographical proximity (with Cyprus, German Democratic Republic, and Mongolia being recoded from original coding) and demarcation by area specialists having contributed to a regional understanding of democratization. The categories are as follow:",NA
v2clacjust,Do poor people enjoy the same level of civil liberties as rich people do?,"This question specifies the extent to which the level of civil liberties is generally the same across socioeconomic groups so that people with a low social status are not treated worse than people with high social status. Here, civil liberties are understood to include access to justice, private property rights, freedom of movement, and freedom from forced labor.","Ordinal, converted to interval by the measurement model."
v2clrelig,Is there freedom of religion?,"This indicator specifies the extent to which individuals and groups have the right to choose a religion, change their religion, and practice that religion in private or in public as well as to proselytize peacefully without being subject to restrictions by public authorities.","Ordinal, converted to interval by the measurement model."
v2smorgviol,How often do people use social media to organize offline violence?,NA,"Ordinal, converted to interval by the measurement model."
v2x_ex_hereditary,To what extent is the power base of the chief executive determined by hereditary succession?,"Representing one of five regime dimensions, each of which may be more or less present in any given case, this index taps into the extent to which the appointment and dismissal of the chief executive is based on hereditary rule.","Interval, from low to high (0-1)."
v2x_ex_military,To what extent is the power base of the chief executive determined by the military?,"Representing one of five regime dimensions, each of which may be more or less present in any given case, this index taps into the extent to which the appointment and dismissal of the chief executive is based on the threat or actual use of military force.","Interval, from low to high (0-1)."
v2x_ex_party,To what extent is the power base of the chief executive determined by a ruling party?,"Representing one of five regime dimensions, each of which may be more or less present in any given case, this index taps into the extent to which a ruling party appoints and dismisses the chief executive.","Interval, from low to high (0-1)."
v2x_ex_direlect,To what extent is the power base of the chief executive determined by direct election?,"Representing one of five regime dimensions, each of which may be more or less present in any given case, this index taps into the extent to which the chief executive is appointed through direct popular election (regardless of the quality or extension of suffrage of that election).","Interval, from low to high (0-1)."
v2x_ex_confidence,To what extent is the power base of the chief executive' determined by the confidence of the legislature?,"Representing one of five regime dimensions, each of which may be more or less present in any given case, this index taps into the extent to which the dismissal of the chief executive depends on the confidence of the legislature.","Interval, from low to high (0-1)."
v2xpe_exlpol,Index of (political) exclusion by political group,"Exclusion is when individuals are denied access to services or participation in governed spaces (spaces that are part of the public space and the government should regulate, while excluding private spaces and organizations except when exclusion in those private spheres is linked to exclusion in the public sphere)  based on their identity or belonging to a particular group. The point estimates for this index have been reversed such that the directionality is opposite to the input variables. That is, lower scores indicate a normatively better situation (e.g. more democratic) and higher scores a normatively worse situation (e.g. less democratic). Note that this directionality is opposite of that of other V-Dem indices, which generally run from normatively worse to better.","Interval, from low to high (0-1)"
v2meslfcen,Is there self-censorship among journalists when reporting on issues that the government considers politically sensitive?,NA,"Ordinal, converted to interval by the measurement model."
v2x_clpriv,To what extent are private liberties respected?,"Private liberties are understood as freedom of movement, freedom of religion, freedom from forced labor, and property rights. The index is based on indicators that reflect government repression and that are not directly referring to elections.","Interval, from low to high (0-1)."
v2peasbegeo,Are state business opportunities equally available to qualified individuals or firms regardless of their rural or urban locations?,"State business opportunities refer to the ability to compete for or receive a public procurement contract, to partner with the government in public-private partnerships, etc. Urban areas are defined as an area that meets the following conditions: population density exceeds a threshold of 150 persons per square kilometer, there is access to a sizeable settlement of 50,000 people or more within some reasonable travel time, for example 60 minutes by road. (World Development  Report, 2009: 54)","Ordinal, converted to interval by the measurement model."
v2regdur,How many days have passed since the current regime started?,"The variable pertains to the regime coded under v2reginfo, and is measured in number of calendar days.",Interval
v2x_libdem,To what extent is the ideal of liberal democracy achieved?,"The liberal principle of democracy emphasizes the importance of protecting individual and minority rights against the tyranny of the state and the tyranny of the majority. The liberal model takes a ""negative"" view of political power insofar as it judges the quality of democracy by the limits placed on government. This is achieved by constitutionally protected civil liberties, strong rule of law, an independent judiciary, and effective checks and balances that, together, limit the exercise of executive power. To make this a measure of liberal democracy, the index also takes the level of electoral democracy into account.","Interval, from low to high (0-1)."
v2cltort,Is there freedom from torture?,"Torture refers to the purposeful inflicting of extreme pain, whether mental or physical, with an aim to extract information or intimidate victims, who are in a state of incarceration. Here, we are concerned with torture practiced by state officials or other agents of the state (\textit{e.g.}, police, security forces, prison guards, and paramilitary groups).","Ordinal, converted to interval by the measurement model."
v2csreprss,Does the government attempt to repress civil society organizations (CSOs)?,NA,"Ordinal, converted to interval by the measurement model."
v2exagehos,In what year was the head of state born?,NA,NA
v2xcl_dmove,Do citizens enjoy freedom of movement and residence?,"This indicator specifies the extent to which citizens are able to move freely, in daytime and nighttime, in public thoroughfares, across regions within a country, and to establish permanent residency where they wish. Note that restrictions in movement might be imposed by the state and/or by informal norms and practices. Such restrictions sometimes fall on rural residents, on specific social groups, or on dissidents. \\ 
Do \textit{not} consider restrictions in movement that are placed on ordinary non-political criminals. Do not consider restrictions in movement that result from crime or unrest.","Interval, from low to high (0-1)."
v2xcl_slave,Are adult citizens free from servitude and other kinds of forced labor?,Involuntary servitude occurs when an adult is unable to quit a job s/he desires to leave --- not by reason of economic necessity but rather by reason of employer's coercion. This includes labor camps but not work or service which forms part of normal civic obligations such as conscription or employment in command economies.,"Interval, from low to high (0-1)."
v2ellocgov,Is there a local government?,"Local government refers to the level of government below the regional government. There are many names for units at this level; some common ones are counties, communes, cities, municipalities, towns, rural municipalities, and villages.\\ 
Countries with more than two subnational levels may have multiple levels that fit the definition of local government. If this is the case, please code the local level that, in practice, has the most responsibilities (\textit{e.g.} making laws, providing primary, education, maintaining roads, policing, etc.) and resources to carry out those responsibilities.","Dichotomous, converted to interval by the measurement model."
v2xcl_acjst,Do citizens enjoy secure and effective access to justice?,NA,"Interval, from low to high (0-1)."
v2x_liberal,To what extent is the liberal principle of democracy achieved?,"The liberal principle of democracy emphasizes the importance of protecting individual and minority rights against the tyranny of the state and the tyranny of the majority. The liberal model takes a ""negative"" view of political power insofar as it judges the quality of democracy by the limits placed on government. This is achieved by constitutionally protected civil liberties, strong rule of law, an independent judiciary, and effective checks and balances that, together, limit the exercise of executive power.","Interval, from low to high (0-1)."
v2expathhs,How did the head of state reach office?,"If several bodies were involved in the appointment process, select the one that exerted the most critical impact on the decision. However, in the next question we ask separately about whether the approval of the legislature was necessary. Response category 7 should only be selected if the head of state is directly elected, not if he or she was appointed by the legislature after an election. We count as direct elections (category 7) also those indirect elections carried out by an electoral college, whose only purpose is to elect the president.","Nominal (v2expathhs), or a series of dichotomous scales."
v2x_egal,To what extent is the egalitarian principle achieved?,"The egalitarian principle of democracy holds that material and immaterial inequalities inhibit the exercise of formal rights and liberties, and diminish the ability of citizens from all social groups to participate.  Egalitarian democracy is achieved when 1 rights and freedoms of individuals are protected equally across all social groups; 2  resources are distributed equally across all social groups; and 3 access to power is equally distributed by gender, socioeconomic class and social group.","Interval, from low to high (0-1)."
