partyid,id,libcon,age,biden_likes,biden_dislikes,trump_likes,trump_dislikes,mipp_1
1. Strong Democrat,201209,3. Slightly liberal,75,HE SEEMS HONEST,NA,NA,"he's a liar, he's all about himself, not the country. he is a con artist.",covid 19 its causing problems with the economy
4. Independent,201216,5. Slightly conservative,61,NA,He is to old & shows signs of dementia,He's not crazy left,Lack of maturity,"riots, anarchy, BLM, ANTIFA....ALL SUCK!"
7. Strong Republican,201223,6. Conservative,80. Age 80 or older,NA,He has a problem with several things that I disagree with.  Hehas a problem with focassing.,I appreciatethat he has done many things for the American people while being slammed on every hand by the people.,NA,Covid I feel that moreneeds to be done to enforce safety measures.
3. Independent-Democrat,201230,3. Slightly liberal,58,He is not Donald Trump.  He embodies ideologies and morals that I support.,NA,NA,Basically almost everything he has ever done with some exceptions.,Political Division
2. Not very strong Democrat,201247,4. Moderate; middle of the road,50,"Hes a good man, family man, he cares about people",NA,NA,"everything,  the lies,  misogyny,  immaturity,  inability to lead,  racist, egocentric.",covid and the lack of the trump administrations handling of it.
1. Strong Democrat,201254,3. Slightly liberal,76,"Compassion, intelligence, decency. Working with the other side. Strong ethics. Basically presents the political views I support.",NA,NA,Where do I start?  Streetsmart but limited intelligence. Emotional intelligence of a 7 year old.  Lies constantly. Rejects anyone as enemy who does not support his sometimes ridiculous views.  Attacks anyone who dares to have another view. Adores autocrats and wants to be one.  Supports neo-Nazis and racism. Is petty and petulant when feeling wronged. And let's not forget his narcissistic personality. All not good for the highest position in the country.,Getting the Covid-19 pandemic under control in the world.  Getting people to follow safety instructions. Passing 2nd stimulus bill!!!
4. Independent,201261,4. Moderate; middle of the road,80. Age 80 or older,NA,NA,NA,NA,Virus & finding a vaccine
1. Strong Democrat,201278,2. Liberal,48,NA,NA,NA,NA,corona. virus.  drugs
4. Independent,201285,3. Slightly liberal,61,NA,NA,NA,NA,n/a
1. Strong Democrat,201292,2. Liberal,45,"He is not my first choice, but I will choose pretty much anybody that isn't Trump. Plus, he has the support of Obama, seems to be ""for the people"" and committed to making life better for everyone, especially those with less than others. He has a long past in politics, so he knows all about how they run. He has endured hardships and just seems to be more of a ""regular"" person, dedicated to others.",NA,NA,"He is a narcissistic, self-centered, ignorant, uninformed, terrible speaker. He is immature, racist, homophobic, and has terrible people as ""friends"". He is all about greed, status, and the 1%. To me, he has no good qualities and has done nothing positive for this country in the 4 years that we have had to endure his time in office.",Coronavirusequalitypolice corruptness
7. Strong Republican,201322,6. Conservative,37,NA,He doesnt seem to be in touch with reality. I have seen multiple videos of him loing his temper at what was merely discussion and he seems to be confused all the time. Not to mention he can not seem to keep his hands to himself!,He stands for the values our country needs so much right now. And he stands behind religion and God. he isnt afraid to do what he thinks needs to be done regardless of how the people will react and he doesnt candy coat anything. i could go on but i think this will suffice.,NA,our nation is being divided
7. Strong Republican,201339,6. Conservative,36,NA,hes not pro life and mentally unstable,streggrh of the economy,NA,liberals and socialists
1. Strong Democrat,201346,2. Liberal,80. Age 80 or older,He is intelligent. He is a leader. He has a proven record in politics. He seems to care for all people. He would be good in a crisis.,NA,NA,"He is pompous, egotistical, unethical, rude and stupid. He is a bully and a liar. He thinks he is above the law because he is rich and thinks he can do whatever he likes. He is a whiner. He acts like a spoiled child.",Climate change and how it is affecting humans and the world; need to pass legislation to help save the planet
7. Strong Republican,201353,7. Extremely conservative,66,NA,He wants to undo all the Trump tax cuts.,He keeps the economy strong.,NA,COVID-19 pandemic is keeping us from living a normal life.
5. Independent-Republican,201360,5. Slightly conservative,80. Age 80 or older,past history i don't like his ideas,i don't trust him,what he's doing for  this country,NA,"all lives matter,"
5. Independent-Republican,201377,6. Conservative,66,NA,Don't believe in the Democrat Platform.  I believe they want to move the U.S. toward a socialistic nation.,NA,He comes across as a jerk.,Biased reporting by the media.  Media tends to promote their beliefs rather than report only the facts or both sides of an issue.
6. Not very strong Republican,201384,4. Moderate; middle of the road,60,HONORABLE .RELIGIOUS,NA,NA,"LIAR,INSINCERE,CON MAN",TOO MUCH DIVISION
7. Strong Republican,201391,6. Conservative,34,NA,fear of losing constitutional rights and not being able to keep the money i earn,he follows through on his campain promises and cant be bought,NA,"election fraud, freedom of speech and religion are under attack, second amendment rights are under attack, abortion"
7. Strong Republican,201407,6. Conservative,80. Age 80 or older,NA,"He is the vice president for for Obama for eight years.  He did not support or achieve any thing good for America.  He kept on saying, free education, free health to everyone.  He want tax the rich and gave money to pool.  Why the pool people can get everything without any hard work of their own?",He talks about his policies very often. I agree with him most of the time. He work very hard to promote his idea and speaks truthfully.,NA,Moral standard
2. Not very strong Democrat,201421,4. Moderate; middle of the road,71,NA,I think he has memory lapses and has not been out in the public to answer reporters' questions.,"He brought our country to a great economy, and to our lowest unemployment rate.","His attitude, and the way he talks to people. He has also lied to the public about some people and situations.",Getting the Covid pandemic under control; stimulating the economy; corruption
7. Strong Republican,201438,6. Conservative,72,NA,"too old,,memory,,and changes story,,and do not like his attuide towards law and order,  tax increase,,and his dumb running mate","he wants America stronger,,American made, and law and order and drain swamp",NA,health and jobs
6. Not very strong Republican,201445,3. Slightly liberal,57,NA,NA,NA,NA,NA
7. Strong Republican,201469,4. Moderate; middle of the road,36,NA,my worry is that he may just focus on the poor lower social economic status population and not the working class which is the catagory that my family fits in. I am not poor neither do I qualify for any low income benefits.,That he is thinking about the working class population and I believe that the country’s economy has been its best under his presidency up until COVID pandemic hit in 3/2020,NA,"covid 19, the spread of this virus.. no vaccine and jobs ..unemployment rate super high"
1. Strong Democrat,201476,4. Moderate; middle of the road,61,A positive person who cares about all people and America. He is honest and speaks what is on his mind.,NA,NA,NA,Covid-19 pandemic
