,age_group,partyid_3cat,libcon,trump_therm,harris_therm
80,45-54,Democrat,1. Extremely liberal,0.0,100.0
81,35-44,Republican,6. Conservative,80.0,0.0
82,35-44,Republican,6. Conservative,85.0,1.0
88,55-64,Republican,3. Slightly liberal,85.0,50.0
89,35-44,Republican,4. Moderate; middle of the road,100.0,0.0
90,65+,Democrat,4. Moderate; middle of the road,30.0,100.0
91,55-64,Republican,6. Conservative,100.0,0.0
92,25-34,Democrat,2. Liberal,0.0,70.0
95,55-64,Independent,4. Moderate; middle of the road,70.0,30.0
96,35-44,Democrat,4. Moderate; middle of the road,30.0,50.0
97,25-34,Democrat,2. Liberal,0.0,85.0
102,25-34,Republican,6. Conservative,75.0,15.0
104,35-44,Democrat,2. Liberal,0.0,70.0
106,55-64,Republican,4. Moderate; middle of the road,0.0,60.0
110,55-64,Republican,3. Slightly liberal,85.0,15.0
111,25-34,Democrat,2. Liberal,0.0,85.0
112,35-44,Democrat,4. Moderate; middle of the road,0.0,100.0
114,35-44,Democrat,2. Liberal,0.0,70.0
115,45-54,Democrat,5. Slightly conservative,10.0,65.0
116,35-44,Democrat,2. Liberal,0.0,95.0
123,45-54,Republican,6. Conservative,100.0,0.0
124,45-54,Independent,3. Slightly liberal,0.0,85.0
126,25-34,Democrat,1. Extremely liberal,0.0,15.0
128,55-64,Democrat,3. Slightly liberal,0.0,85.0
129,25-34,Republican,4. Moderate; middle of the road,75.0,0.0
131,25-34,Democrat,2. Liberal,0.0,80.0
132,25-34,Democrat,5. Slightly conservative,30.0,85.0
135,55-64,Republican,4. Moderate; middle of the road,100.0,0.0
139,45-54,Democrat,3. Slightly liberal,0.0,90.0
140,45-54,Democrat,2. Liberal,3.0,90.0
146,25-34,Republican,6. Conservative,85.0,0.0
147,65+,Democrat,2. Liberal,0.0,85.0
148,55-64,Democrat,2. Liberal,10.0,60.0
149,35-44,Republican,7. Extremely conservative,95.0,0.0
152,45-54,Republican,6. Conservative,100.0,0.0
155,25-34,Republican,5. Slightly conservative,50.0,50.0
156,45-54,Democrat,2. Liberal,2.0,15.0
159,55-64,Democrat,3. Slightly liberal,0.0,100.0
160,45-54,Republican,5. Slightly conservative,60.0,15.0
164,25-34,Republican,5. Slightly conservative,50.0,0.0
165,25-34,Republican,5. Slightly conservative,30.0,15.0
168,35-44,Democrat,2. Liberal,0.0,100.0
171,55-64,Republican,4. Moderate; middle of the road,85.0,0.0
172,35-44,Democrat,1. Extremely liberal,0.0,60.0
173,55-64,Democrat,2. Liberal,30.0,70.0
176,55-64,Republican,4. Moderate; middle of the road,0.0,60.0
177,45-54,Democrat,4. Moderate; middle of the road,0.0,50.0
179,35-44,Republican,5. Slightly conservative,90.0,0.0
180,55-64,Republican,6. Conservative,85.0,15.0
181,35-44,Democrat,2. Liberal,0.0,85.0
183,45-54,Democrat,2. Liberal,30.0,60.0
185,25-34,Democrat,3. Slightly liberal,72.0,33.0
188,35-44,Democrat,5. Slightly conservative,100.0,0.0
189,45-54,Republican,6. Conservative,100.0,0.0
192,55-64,Democrat,5. Slightly conservative,0.0,70.0
194,35-44,Republican,3. Slightly liberal,50.0,50.0
199,25-34,Democrat,2. Liberal,15.0,60.0
203,55-64,Democrat,1. Extremely liberal,0.0,100.0
205,35-44,Democrat,2. Liberal,0.0,85.0
208,25-34,Republican,6. Conservative,85.0,0.0
209,25-34,Democrat,4. Moderate; middle of the road,0.0,85.0
210,35-44,Democrat,3. Slightly liberal,65.0,10.0
211,45-54,Democrat,4. Moderate; middle of the road,0.0,60.0
213,55-64,Republican,6. Conservative,90.0,0.0
215,55-64,Republican,6. Conservative,100.0,0.0
216,25-34,Democrat,2. Liberal,0.0,85.0
217,25-34,Democrat,4. Moderate; middle of the road,0.0,100.0
218,35-44,Republican,6. Conservative,90.0,15.0
219,35-44,Democrat,2. Liberal,0.0,85.0
220,45-54,Republican,6. Conservative,55.0,15.0
221,55-64,Republican,6. Conservative,66.0,1.0
222,65+,Republican,4. Moderate; middle of the road,100.0,0.0
223,55-64,Democrat,3. Slightly liberal,15.0,100.0
224,55-64,Democrat,2. Liberal,0.0,100.0
225,55-64,Republican,6. Conservative,15.0,15.0
227,35-44,Democrat,2. Liberal,0.0,85.0
231,45-54,Independent,4. Moderate; middle of the road,55.0,20.0
233,45-54,Republican,6. Conservative,90.0,10.0
234,55-64,Democrat,1. Extremely liberal,0.0,60.0
235,25-34,Democrat,4. Moderate; middle of the road,50.0,50.0
236,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
238,25-34,Democrat,3. Slightly liberal,15.0,85.0
239,55-64,Democrat,3. Slightly liberal,0.0,85.0
241,55-64,Democrat,2. Liberal,30.0,75.0
242,35-44,Republican,6. Conservative,85.0,2.0
243,45-54,Republican,5. Slightly conservative,70.0,15.0
244,55-64,Republican,6. Conservative,75.0,10.0
246,25-34,Republican,5. Slightly conservative,65.0,15.0
247,35-44,Republican,6. Conservative,85.0,0.0
249,55-64,Democrat,2. Liberal,0.0,70.0
256,65+,Democrat,3. Slightly liberal,0.0,60.0
262,45-54,Democrat,2. Liberal,0.0,85.0
263,35-44,Democrat,2. Liberal,0.0,85.0
267,45-54,Republican,5. Slightly conservative,100.0,0.0
269,55-64,Democrat,1. Extremely liberal,0.0,100.0
273,45-54,Republican,6. Conservative,90.0,0.0
276,18-24,Democrat,4. Moderate; middle of the road,50.0,85.0
278,35-44,Democrat,2. Liberal,30.0,50.0
279,45-54,Republican,5. Slightly conservative,70.0,30.0
281,25-34,Republican,4. Moderate; middle of the road,85.0,15.0
282,45-54,Republican,7. Extremely conservative,60.0,50.0
285,55-64,Republican,6. Conservative,85.0,0.0
286,35-44,Democrat,2. Liberal,0.0,100.0
287,45-54,Republican,5. Slightly conservative,70.0,15.0
288,55-64,Democrat,4. Moderate; middle of the road,0.0,85.0
289,55-64,Republican,5. Slightly conservative,100.0,0.0
290,25-34,Democrat,4. Moderate; middle of the road,30.0,30.0
293,25-34,Republican,4. Moderate; middle of the road,0.0,85.0
297,25-34,Republican,7. Extremely conservative,100.0,15.0
300,35-44,Democrat,4. Moderate; middle of the road,0.0,40.0
301,25-34,Republican,5. Slightly conservative,70.0,15.0
302,55-64,Democrat,5. Slightly conservative,0.0,85.0
303,35-44,Democrat,2. Liberal,0.0,85.0
309,35-44,Republican,6. Conservative,70.0,0.0
311,25-34,Democrat,4. Moderate; middle of the road,60.0,50.0
312,45-54,Democrat,2. Liberal,0.0,65.0
313,55-64,Democrat,4. Moderate; middle of the road,0.0,85.0
317,35-44,Republican,6. Conservative,95.0,0.0
318,45-54,Democrat,2. Liberal,0.0,100.0
319,35-44,Democrat,2. Liberal,0.0,100.0
320,45-54,Democrat,4. Moderate; middle of the road,40.0,40.0
321,25-34,Republican,7. Extremely conservative,90.0,0.0
324,45-54,Independent,6. Conservative,100.0,0.0
325,25-34,Republican,6. Conservative,70.0,0.0
328,55-64,Democrat,4. Moderate; middle of the road,20.0,50.0
330,35-44,Independent,4. Moderate; middle of the road,50.0,0.0
334,45-54,Republican,6. Conservative,70.0,30.0
337,35-44,Republican,3. Slightly liberal,50.0,70.0
338,65+,Democrat,6. Conservative,60.0,0.0
339,55-64,Democrat,4. Moderate; middle of the road,0.0,75.0
341,35-44,Republican,7. Extremely conservative,100.0,0.0
343,35-44,Republican,6. Conservative,60.0,15.0
345,45-54,Independent,4. Moderate; middle of the road,0.0,100.0
346,45-54,Democrat,4. Moderate; middle of the road,0.0,100.0
349,35-44,Independent,5. Slightly conservative,80.0,0.0
350,45-54,Republican,6. Conservative,100.0,0.0
355,45-54,Democrat,2. Liberal,0.0,100.0
358,25-34,Republican,6. Conservative,85.0,0.0
364,35-44,Republican,5. Slightly conservative,60.0,0.0
365,35-44,Democrat,3. Slightly liberal,0.0,60.0
366,45-54,Republican,5. Slightly conservative,35.0,15.0
367,45-54,Independent,4. Moderate; middle of the road,0.0,100.0
368,45-54,Republican,5. Slightly conservative,85.0,15.0
369,35-44,Republican,7. Extremely conservative,100.0,0.0
370,65+,Democrat,3. Slightly liberal,10.0,85.0
372,55-64,Republican,7. Extremely conservative,100.0,0.0
376,45-54,Republican,6. Conservative,85.0,0.0
377,55-64,Republican,6. Conservative,85.0,15.0
383,35-44,Republican,4. Moderate; middle of the road,55.0,25.0
384,25-34,Republican,7. Extremely conservative,100.0,0.0
386,45-54,Democrat,1. Extremely liberal,0.0,70.0
387,35-44,Democrat,3. Slightly liberal,0.0,85.0
390,35-44,Republican,4. Moderate; middle of the road,90.0,0.0
391,55-64,Democrat,2. Liberal,0.0,90.0
392,35-44,Democrat,2. Liberal,0.0,85.0
393,35-44,Democrat,2. Liberal,0.0,85.0
394,55-64,Republican,6. Conservative,85.0,0.0
396,55-64,Democrat,4. Moderate; middle of the road,15.0,75.0
397,55-64,Republican,6. Conservative,100.0,0.0
398,35-44,Democrat,4. Moderate; middle of the road,10.0,40.0
400,55-64,Republican,4. Moderate; middle of the road,85.0,0.0
402,45-54,Republican,5. Slightly conservative,60.0,30.0
403,55-64,Republican,6. Conservative,100.0,15.0
404,35-44,Democrat,4. Moderate; middle of the road,0.0,100.0
405,55-64,Democrat,4. Moderate; middle of the road,50.0,15.0
407,45-54,Republican,5. Slightly conservative,70.0,30.0
408,35-44,Republican,4. Moderate; middle of the road,50.0,50.0
410,35-44,Republican,5. Slightly conservative,100.0,5.0
411,35-44,Republican,5. Slightly conservative,40.0,30.0
415,45-54,Republican,6. Conservative,85.0,10.0
416,35-44,Republican,4. Moderate; middle of the road,50.0,15.0
420,35-44,Democrat,2. Liberal,0.0,45.0
424,35-44,Independent,4. Moderate; middle of the road,0.0,40.0
425,55-64,Republican,6. Conservative,100.0,15.0
427,35-44,Independent,4. Moderate; middle of the road,60.0,50.0
428,35-44,Democrat,1. Extremely liberal,0.0,75.0
429,45-54,Republican,4. Moderate; middle of the road,85.0,15.0
430,55-64,Republican,4. Moderate; middle of the road,65.0,0.0
435,25-34,Democrat,3. Slightly liberal,0.0,30.0
436,35-44,Democrat,1. Extremely liberal,50.0,50.0
438,45-54,Republican,4. Moderate; middle of the road,15.0,10.0
439,35-44,Democrat,1. Extremely liberal,0.0,80.0
440,25-34,Democrat,1. Extremely liberal,0.0,70.0
441,45-54,Democrat,2. Liberal,0.0,85.0
443,25-34,Republican,6. Conservative,7.0,4.0
444,45-54,Democrat,2. Liberal,0.0,70.0
445,45-54,Democrat,3. Slightly liberal,0.0,85.0
446,55-64,Democrat,4. Moderate; middle of the road,0.0,85.0
449,35-44,Republican,4. Moderate; middle of the road,15.0,75.0
450,25-34,Republican,6. Conservative,85.0,0.0
452,45-54,Democrat,3. Slightly liberal,0.0,95.0
454,55-64,Republican,6. Conservative,90.0,0.0
457,35-44,Democrat,3. Slightly liberal,0.0,50.0
460,45-54,Democrat,2. Liberal,0.0,95.0
461,45-54,Republican,4. Moderate; middle of the road,0.0,90.0
462,35-44,Republican,2. Liberal,100.0,5.0
463,35-44,Democrat,4. Moderate; middle of the road,60.0,40.0
464,55-64,Republican,4. Moderate; middle of the road,85.0,0.0
465,45-54,Republican,4. Moderate; middle of the road,85.0,0.0
467,25-34,Democrat,1. Extremely liberal,0.0,100.0
470,25-34,Republican,6. Conservative,85.0,10.0
471,45-54,Democrat,2. Liberal,0.0,100.0
472,45-54,Democrat,2. Liberal,0.0,100.0
473,55-64,Democrat,2. Liberal,0.0,100.0
477,55-64,Republican,4. Moderate; middle of the road,100.0,15.0
479,55-64,Democrat,2. Liberal,0.0,75.0
480,35-44,Democrat,1. Extremely liberal,70.0,70.0
484,35-44,Independent,3. Slightly liberal,0.0,70.0
486,35-44,Democrat,2. Liberal,0.0,80.0
488,55-64,Republican,4. Moderate; middle of the road,85.0,30.0
489,55-64,Democrat,3. Slightly liberal,0.0,95.0
490,45-54,Democrat,4. Moderate; middle of the road,0.0,100.0
492,35-44,Democrat,2. Liberal,0.0,85.0
494,45-54,Democrat,3. Slightly liberal,0.0,75.0
495,25-34,Republican,5. Slightly conservative,65.0,10.0
496,55-64,Republican,4. Moderate; middle of the road,0.0,85.0
497,25-34,Democrat,4. Moderate; middle of the road,0.0,40.0
500,35-44,Democrat,1. Extremely liberal,0.0,80.0
502,55-64,Republican,4. Moderate; middle of the road,0.0,85.0
506,55-64,Republican,7. Extremely conservative,100.0,0.0
507,45-54,Republican,5. Slightly conservative,75.0,40.0
508,25-34,Democrat,1. Extremely liberal,0.0,70.0
509,25-34,Democrat,5. Slightly conservative,40.0,50.0
510,45-54,Republican,3. Slightly liberal,60.0,0.0
513,35-44,Democrat,2. Liberal,0.0,100.0
519,55-64,Independent,5. Slightly conservative,40.0,60.0
521,45-54,Republican,4. Moderate; middle of the road,30.0,40.0
524,35-44,Republican,6. Conservative,90.0,0.0
528,55-64,Republican,6. Conservative,85.0,0.0
532,35-44,Republican,7. Extremely conservative,100.0,0.0
534,25-34,Republican,6. Conservative,70.0,15.0
535,35-44,Democrat,4. Moderate; middle of the road,0.0,70.0
536,55-64,Democrat,3. Slightly liberal,0.0,85.0
538,35-44,Democrat,3. Slightly liberal,10.0,55.0
539,45-54,Republican,5. Slightly conservative,40.0,40.0
540,25-34,Republican,6. Conservative,100.0,0.0
541,35-44,Democrat,3. Slightly liberal,0.0,100.0
545,45-54,Republican,4. Moderate; middle of the road,85.0,5.0
546,55-64,Republican,6. Conservative,100.0,0.0
547,45-54,Democrat,4. Moderate; middle of the road,19.0,69.0
548,35-44,Republican,7. Extremely conservative,100.0,0.0
551,45-54,Democrat,4. Moderate; middle of the road,40.0,50.0
555,55-64,Democrat,4. Moderate; middle of the road,15.0,85.0
557,55-64,Republican,7. Extremely conservative,100.0,0.0
558,55-64,Democrat,2. Liberal,0.0,85.0
562,55-64,Republican,7. Extremely conservative,100.0,0.0
563,35-44,Republican,6. Conservative,60.0,15.0
564,65+,Democrat,4. Moderate; middle of the road,0.0,85.0
565,25-34,Democrat,4. Moderate; middle of the road,30.0,60.0
566,55-64,Republican,6. Conservative,85.0,0.0
567,45-54,Democrat,3. Slightly liberal,0.0,90.0
570,45-54,Republican,4. Moderate; middle of the road,85.0,0.0
573,25-34,Democrat,1. Extremely liberal,0.0,40.0
575,35-44,Republican,1. Extremely liberal,85.0,0.0
578,45-54,Republican,5. Slightly conservative,80.0,0.0
579,55-64,Republican,6. Conservative,85.0,15.0
580,25-34,Democrat,2. Liberal,0.0,60.0
583,35-44,Republican,4. Moderate; middle of the road,30.0,30.0
584,25-34,Republican,3. Slightly liberal,40.0,60.0
587,55-64,Republican,6. Conservative,90.0,0.0
590,45-54,Republican,6. Conservative,85.0,15.0
591,55-64,Democrat,1. Extremely liberal,0.0,90.0
593,35-44,Democrat,3. Slightly liberal,0.0,75.0
596,35-44,Democrat,2. Liberal,0.0,85.0
597,45-54,Republican,6. Conservative,100.0,0.0
599,65+,Democrat,3. Slightly liberal,0.0,95.0
600,35-44,Republican,6. Conservative,100.0,0.0
601,45-54,Democrat,3. Slightly liberal,0.0,60.0
602,35-44,Democrat,3. Slightly liberal,0.0,90.0
603,35-44,Republican,6. Conservative,70.0,15.0
604,55-64,Republican,4. Moderate; middle of the road,40.0,40.0
606,45-54,Democrat,3. Slightly liberal,70.0,30.0
607,25-34,Republican,4. Moderate; middle of the road,15.0,0.0
608,35-44,Independent,4. Moderate; middle of the road,80.0,0.0
609,45-54,Democrat,2. Liberal,0.0,100.0
610,35-44,Democrat,2. Liberal,0.0,100.0
613,65+,Republican,6. Conservative,100.0,0.0
615,55-64,Republican,4. Moderate; middle of the road,85.0,10.0
622,35-44,Republican,5. Slightly conservative,85.0,5.0
624,45-54,Republican,6. Conservative,100.0,0.0
629,55-64,Democrat,2. Liberal,0.0,85.0
630,25-34,Republican,6. Conservative,100.0,0.0
632,45-54,Democrat,2. Liberal,0.0,100.0
633,35-44,Democrat,4. Moderate; middle of the road,40.0,60.0
635,55-64,Republican,6. Conservative,85.0,10.0
636,55-64,Democrat,3. Slightly liberal,0.0,70.0
637,25-34,Democrat,1. Extremely liberal,0.0,70.0
638,45-54,Democrat,2. Liberal,0.0,85.0
642,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
643,35-44,Democrat,2. Liberal,15.0,85.0
644,35-44,Republican,6. Conservative,100.0,0.0
645,45-54,Democrat,2. Liberal,0.0,70.0
646,35-44,Republican,2. Liberal,100.0,30.0
647,55-64,Democrat,2. Liberal,0.0,85.0
649,55-64,Republican,6. Conservative,100.0,0.0
650,25-34,Independent,4. Moderate; middle of the road,70.0,50.0
651,35-44,Democrat,2. Liberal,0.0,70.0
656,55-64,Democrat,4. Moderate; middle of the road,30.0,50.0
657,55-64,Republican,6. Conservative,80.0,10.0
659,55-64,Democrat,2. Liberal,0.0,85.0
660,35-44,Republican,6. Conservative,100.0,0.0
665,35-44,Republican,6. Conservative,100.0,0.0
666,25-34,Democrat,2. Liberal,15.0,85.0
667,45-54,Democrat,4. Moderate; middle of the road,0.0,60.0
668,35-44,Republican,7. Extremely conservative,70.0,0.0
670,45-54,Democrat,2. Liberal,0.0,80.0
671,25-34,Democrat,3. Slightly liberal,0.0,60.0
672,35-44,Republican,6. Conservative,15.0,40.0
673,35-44,Democrat,3. Slightly liberal,50.0,70.0
675,55-64,Democrat,5. Slightly conservative,70.0,50.0
678,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
679,45-54,Democrat,4. Moderate; middle of the road,0.0,85.0
682,25-34,Republican,5. Slightly conservative,100.0,0.0
685,65+,Democrat,5. Slightly conservative,30.0,85.0
686,45-54,Republican,7. Extremely conservative,85.0,0.0
688,55-64,Republican,6. Conservative,70.0,30.0
690,55-64,Republican,6. Conservative,100.0,0.0
692,55-64,Republican,7. Extremely conservative,95.0,10.0
693,25-34,Democrat,2. Liberal,0.0,72.0
696,55-64,Republican,6. Conservative,95.0,0.0
697,55-64,Democrat,2. Liberal,0.0,70.0
698,55-64,Democrat,2. Liberal,0.0,85.0
699,55-64,Republican,6. Conservative,85.0,15.0
700,45-54,Republican,5. Slightly conservative,60.0,0.0
701,35-44,Republican,5. Slightly conservative,90.0,5.0
705,35-44,Democrat,4. Moderate; middle of the road,40.0,70.0
706,35-44,Democrat,4. Moderate; middle of the road,0.0,85.0
711,25-34,Independent,5. Slightly conservative,50.0,0.0
713,35-44,Republican,6. Conservative,85.0,0.0
714,55-64,Democrat,5. Slightly conservative,0.0,50.0
715,25-34,Democrat,3. Slightly liberal,15.0,70.0
716,45-54,Democrat,5. Slightly conservative,15.0,40.0
719,55-64,Democrat,4. Moderate; middle of the road,40.0,60.0
720,25-34,Democrat,3. Slightly liberal,0.0,85.0
721,45-54,Republican,6. Conservative,100.0,0.0
725,55-64,Democrat,3. Slightly liberal,0.0,100.0
727,25-34,Republican,5. Slightly conservative,70.0,15.0
728,25-34,Republican,4. Moderate; middle of the road,70.0,0.0
729,45-54,Democrat,2. Liberal,0.0,85.0
731,45-54,Republican,5. Slightly conservative,100.0,0.0
737,35-44,Democrat,4. Moderate; middle of the road,0.0,60.0
738,55-64,Democrat,3. Slightly liberal,0.0,70.0
741,35-44,Independent,4. Moderate; middle of the road,50.0,50.0
744,45-54,Republican,6. Conservative,85.0,60.0
745,45-54,Democrat,3. Slightly liberal,0.0,70.0
749,25-34,Democrat,3. Slightly liberal,85.0,40.0
750,35-44,Republican,3. Slightly liberal,50.0,50.0
754,35-44,Democrat,2. Liberal,0.0,85.0
755,35-44,Republican,4. Moderate; middle of the road,60.0,15.0
757,45-54,Republican,5. Slightly conservative,70.0,0.0
758,45-54,Democrat,4. Moderate; middle of the road,0.0,40.0
759,55-64,Democrat,5. Slightly conservative,5.0,90.0
760,55-64,Republican,6. Conservative,85.0,0.0
765,35-44,Democrat,1. Extremely liberal,0.0,95.0
767,45-54,Democrat,2. Liberal,2.0,85.0
769,55-64,Republican,5. Slightly conservative,85.0,15.0
771,55-64,Republican,5. Slightly conservative,60.0,0.0
774,45-54,Democrat,3. Slightly liberal,0.0,85.0
776,35-44,Democrat,2. Liberal,0.0,60.0
778,45-54,Republican,6. Conservative,85.0,0.0
782,45-54,Democrat,1. Extremely liberal,0.0,80.0
783,35-44,Democrat,3. Slightly liberal,0.0,85.0
787,35-44,Democrat,4. Moderate; middle of the road,0.0,70.0
790,35-44,Democrat,2. Liberal,0.0,100.0
791,45-54,Republican,6. Conservative,70.0,0.0
793,35-44,Democrat,5. Slightly conservative,0.0,85.0
794,45-54,Republican,6. Conservative,95.0,0.0
795,25-34,Democrat,1. Extremely liberal,0.0,90.0
796,35-44,Independent,4. Moderate; middle of the road,0.0,50.0
800,35-44,Republican,6. Conservative,85.0,30.0
801,25-34,Democrat,2. Liberal,0.0,40.0
802,65+,Democrat,4. Moderate; middle of the road,10.0,75.0
803,35-44,Democrat,2. Liberal,0.0,85.0
804,45-54,Republican,7. Extremely conservative,100.0,0.0
805,25-34,Independent,3. Slightly liberal,15.0,15.0
807,35-44,Independent,4. Moderate; middle of the road,60.0,15.0
809,35-44,Democrat,3. Slightly liberal,15.0,60.0
811,45-54,Democrat,4. Moderate; middle of the road,15.0,100.0
812,25-34,Democrat,2. Liberal,70.0,50.0
813,55-64,Republican,6. Conservative,90.0,0.0
815,35-44,Republican,5. Slightly conservative,70.0,10.0
817,25-34,Democrat,1. Extremely liberal,0.0,70.0
819,35-44,Democrat,3. Slightly liberal,30.0,60.0
820,55-64,Democrat,3. Slightly liberal,0.0,70.0
822,25-34,Democrat,1. Extremely liberal,0.0,100.0
824,25-34,Independent,4. Moderate; middle of the road,5.0,10.0
825,55-64,Republican,6. Conservative,70.0,0.0
826,35-44,Republican,6. Conservative,30.0,50.0
827,65+,Republican,6. Conservative,30.0,60.0
831,55-64,Democrat,2. Liberal,0.0,75.0
833,45-54,Republican,5. Slightly conservative,55.0,20.0
835,25-34,Democrat,3. Slightly liberal,15.0,85.0
836,45-54,Republican,3. Slightly liberal,60.0,30.0
837,25-34,Democrat,2. Liberal,0.0,60.0
838,35-44,Republican,6. Conservative,70.0,30.0
839,55-64,Democrat,4. Moderate; middle of the road,0.0,60.0
841,45-54,Republican,1. Extremely liberal,100.0,15.0
842,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
843,55-64,Democrat,4. Moderate; middle of the road,15.0,85.0
844,55-64,Republican,6. Conservative,100.0,0.0
846,45-54,Democrat,2. Liberal,0.0,100.0
847,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
849,35-44,Democrat,2. Liberal,0.0,100.0
851,35-44,Democrat,1. Extremely liberal,0.0,70.0
856,35-44,Democrat,4. Moderate; middle of the road,0.0,30.0
857,45-54,Democrat,2. Liberal,0.0,75.0
859,35-44,Democrat,3. Slightly liberal,0.0,85.0
860,35-44,Democrat,3. Slightly liberal,0.0,49.0
862,45-54,Republican,6. Conservative,100.0,0.0
865,55-64,Democrat,5. Slightly conservative,0.0,85.0
866,65+,Democrat,1. Extremely liberal,0.0,100.0
867,35-44,Republican,4. Moderate; middle of the road,15.0,75.0
871,45-54,Independent,4. Moderate; middle of the road,50.0,15.0
874,25-34,Democrat,2. Liberal,0.0,85.0
875,35-44,Democrat,1. Extremely liberal,15.0,85.0
876,35-44,Republican,6. Conservative,85.0,15.0
878,35-44,Republican,5. Slightly conservative,80.0,0.0
880,25-34,Democrat,2. Liberal,0.0,85.0
882,65+,Republican,6. Conservative,99.0,0.0
883,55-64,Republican,4. Moderate; middle of the road,70.0,0.0
884,35-44,Independent,4. Moderate; middle of the road,60.0,0.0
885,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
888,45-54,Democrat,2. Liberal,0.0,85.0
890,55-64,Democrat,2. Liberal,0.0,90.0
891,35-44,Democrat,2. Liberal,0.0,85.0
896,45-54,Democrat,4. Moderate; middle of the road,40.0,30.0
898,35-44,Democrat,5. Slightly conservative,30.0,70.0
900,25-34,Democrat,2. Liberal,1.0,75.0
901,35-44,Democrat,2. Liberal,50.0,70.0
902,25-34,Republican,5. Slightly conservative,60.0,15.0
904,65+,Republican,1. Extremely liberal,70.0,0.0
905,45-54,Democrat,4. Moderate; middle of the road,15.0,70.0
906,55-64,Republican,5. Slightly conservative,100.0,15.0
909,35-44,Republican,6. Conservative,90.0,15.0
910,45-54,Republican,5. Slightly conservative,90.0,0.0
911,55-64,Democrat,3. Slightly liberal,0.0,95.0
913,35-44,Republican,6. Conservative,93.0,0.0
917,55-64,Democrat,4. Moderate; middle of the road,0.0,60.0
918,35-44,Independent,1. Extremely liberal,0.0,15.0
920,35-44,Republican,6. Conservative,90.0,30.0
921,35-44,Democrat,2. Liberal,40.0,55.0
923,45-54,Republican,7. Extremely conservative,100.0,0.0
928,55-64,Republican,6. Conservative,0.0,85.0
929,25-34,Democrat,6. Conservative,0.0,85.0
930,45-54,Democrat,4. Moderate; middle of the road,0.0,70.0
931,55-64,Democrat,3. Slightly liberal,0.0,60.0
935,55-64,Democrat,2. Liberal,0.0,85.0
937,45-54,Democrat,6. Conservative,0.0,80.0
938,55-64,Republican,4. Moderate; middle of the road,90.0,20.0
940,25-34,Democrat,4. Moderate; middle of the road,50.0,85.0
941,25-34,Democrat,4. Moderate; middle of the road,0.0,60.0
944,45-54,Democrat,3. Slightly liberal,20.0,70.0
945,35-44,Democrat,3. Slightly liberal,0.0,55.0
948,35-44,Democrat,3. Slightly liberal,40.0,30.0
951,35-44,Democrat,4. Moderate; middle of the road,0.0,75.0
955,45-54,Democrat,5. Slightly conservative,0.0,90.0
956,45-54,Republican,6. Conservative,30.0,50.0
957,25-34,Republican,5. Slightly conservative,100.0,0.0
