text,cmp_code,id,immigration_related
To achieve that ambition we will have to go further in reforming our education system.,506,51620_201706,FALSE
The Morrison Government stands up for small businesses because we know that backing them is crucial to growing the economy and creating jobs.,402,63620_202205,FALSE
"This is in spite of the fact that regional Australians suffer from higher rates of many diseases, more injuries, and higher suicide and death rates.",504,63810_201008,FALSE
"A sole parent with income of $65,000 and two children in high school will be around $3,000 better off each year under Labor.",504,63320_201607,FALSE
Ces éléments forment un socle qui constitue en quelque sorte une citoyenneté québécoise.,301,62901_201510,FALSE
"Around one in ten, or about 25,000 of the best classroom teachers would receive a performance bonus each year.",506,63320_201008,FALSE
improve the standard of care provided to them,504,51320_201912,FALSE
"Through the Communities Environment Program, each Federal electorate will receive up to $150,000 in 2019-20 for community-led projects that deliver real environmental benefits.",501,63810_201905,FALSE
"Eligible employers will receive $2,000 after 12 months of the apprenticeship, and $2,000 more upon completion.",411,63621_201905,FALSE
and significantly increase the numbers of homes built to lifetime home and mobility standards over the next 5 years.,504,51110_201706,FALSE
Black Spots Funding.,NA,63810_200111,FALSE
This is a very short-sighted approach as well as being unjust.,503,53321_201602,FALSE
"reins in corporate power,",403,51320_201912,FALSE
THE MAIN ACTION POINTS INCLUDE:,NA,53321_201602,FALSE
Funding,H,53951_201602,FALSE
"re-balance our health system towards primary care,",504,53620_201602,FALSE
"Neurological Care: Through the implementation of FairCare, Fine Gael will prioritise the development of neurological services and implement the national rehabilitation strategy.",504,53520_201102,FALSE
There are 1.8 million zero-hours contracts.,701,51320_201505,FALSE
Public broadcasting,H,53951_202002,FALSE
This government introduced a series of regressive budgets that have inflicted profound damage on the basic social fabric of the country.,503,53620_201602,FALSE
"De plus, le Bloc Québécois s’assurera que la SCHL cesse d’engranger des surplus inutiles qui ne servent qu’à remplir ses coffres.",305,62901_200810,FALSE
the establishment of a Viking and Norman heritage cluster of attractions in the South East,502,53520_200705,FALSE
Share the cost of social protection with insurance companies where possible,503,53320_201102,FALSE
We will fully restore the Australian Building and Construction Commission (ABCC) so that there will be less union militancy,702,63622_201309,FALSE
Our Plan,H,63810_201905,FALSE
We will not bring back work choices,702,63620_201008,FALSE
Create a national council on poverty elimination.,503,62320_201510,FALSE
"China is Australia’s number one inbound market (currently worth $11.5 billion), having grown 12 per cent in  12 months.",410,63620_201905,FALSE
"and to help Canadian employers fill skills shortages,",410,62623_201910,FALSE
These sites provide important safety and fatigue breaks for drivers and their passengers <96> particularly on long trips and during peak holiday periods,606.1,63810_202205,FALSE
freeing up resources to pay health sector staff fairly.,701,51430_201912,FALSE
Realising the Vision for Change,H,53951_202002,FALSE
"Pour y arriver, il importe que le gouvernement fasse preuve de bonne volonté dans ses négociations et se plie aux obligations énoncées dans les ententes de manière à parvenir aux résultats voulus, le succès de la mise en oeuvre étant jaugé en regard de la mesure dans laquelle les obligations de toutes les parties sont respectées.",301,62901_200601,FALSE
"Australians deserve Hope, Reward and Opportunity",601,63622_201309,FALSE
"For every $100 a small business spends on digital technologies like cloud computing, e-Invoicing, cyber security and web design, they will get a $120 tax deduction (on expenditure of up to $100,000 a year).",402,63810_202205,FALSE
Our Plan for the Central Coast,H,63621_202205,FALSE
"Since 2018, our Government has invested around $70 million in the SICP to 105 Australian small and medium businesses.",402,63620_202205,FALSE
"We will also crack down on corporate tax avoidance, change the way big companies are run, and make proﬁtable companies pay back JobKeeper.",403,63110_202205,FALSE
"Support the careful rolling-out of the Rural Transport Initiative nationally, and expand its remit to include late night services.",411,53320_200705,FALSE
and the rights of property owners.,401,61620_201611,FALSE
We will extend the HomeBuy scheme to allow first time buyers to get on the property ladder and help people to buy houses in their town or village.,403,51901_201505,FALSE
Labor will intervene in proceedings in the Fair Work Commission to protect weekend penalty rates.,701,63320_201607,FALSE
Le commerce équitable,H,62901_200406,FALSE
Fine Gael -General Election Manifesto 2007,NA,53520_200705,FALSE
"Rural America is especially affected as obstetricians, surgeons, and other providers move to urban settings or retire in the face of escalating insurance premiums.",703.1,61620_202011,FALSE
"Jusqu’à un passé récent, il aurait été invraisemblable que la présence du Canada ou d’une entreprise canadienne à l’étranger soit assez significative pour provoquer un conflit ou un désastre.",103,62901_200601,FALSE
"In addition to third-level students, the schemes will employ a small number of more senior staff experienced in working with children or in sports organisations to manage each individual programme.",504,53320_200705,FALSE
SNP MPs will: press the UK government to commit to the Open Skies Agreement in Brexit negotiations to ensure there is no loss of flights to or from Scotland and our airports are not disadvantaged;,401,51902_201706,FALSE
The Morrison Government will also expand access to the successful Transition to Work employment service to young people aged 22 to 24 years.,503,63621_201905,FALSE
"Education is at the heart of a more cohesive, more equal and more successful society,",506,53320_201102,FALSE
"In British Columbia, we will work with the province to develop a responsible plan to transition from open net pen salmon farming in coastal waters to closed containment systems by 2025.",501,62420_201910,FALSE
Priority road projects in key strategic corridors in Northern Australia,411,63621_201607,FALSE
"This election is a fundamental choice about the sort of Ireland, we as a people, can create.",503,53620_201602,FALSE
POSITIVE POLICY,H,63320_201607,FALSE
"In 2017-18, for example, international students in Australia added $32.4 billion to the economy and tourism $21.6 billion, making these our third and fifth largest export industries.",410,63810_201905,FALSE
Record funding for WA schools,506,63621_202205,FALSE
"Limit enurement clauses, which prevent the selling on of a site once planning permission has been granted, to 7 years.",303,53420_200705,FALSE
and record job creation.,701,63621_201905,FALSE
"Local Governments will continue to be supported through Financial Assistance Grants, supporting direct investment in council infrastructure",411,63810_201905,FALSE
"Traditionally, netball has retained players for longer than other sports, especially in the 18-24 age bracket.",502,63810_201905,FALSE
"This investment would build on current CIHR-funded cancer research programs, among others;",504,62420_200601,FALSE
We believe this committee needs to be re-established in order to provide research and direction to the Minister in order to address educational disadvantage in light of increased child poverty rates and the particular problems faced by minority groups such as travellers and homeless children.,503,53951_202002,FALSE
The Commercialization Centers promise to become focal points for clusters of activity in many dynamic areas of technology.,411,62420_200406,FALSE
INCLUSIVE ARTS AND CULTURE PROGRAMMES,H,53320_202002,FALSE
"C’est un Québécois ou une Québécoises qui connaît et comprend le Canada et qui met cette connaissance au service du Québec, c’est un Québécois qui arrive à déterminer où se trouvent les intérêts du Québec dans notre monde de plus en plus intégré et complexe.",301,62901_200810,FALSE
"A re-elected Coalition Government will work with our new Online Safety Youth Advisory Council on the challenges and solutions to the major online safety issues affecting young Australians, such as bullying and harassment, mental health, privacy, the impact of algorithms and unwanted contact from strangers.",706,63620_202205,FALSE
Irish society has changed radically since the Garda Síochána was founded in 1922.,601,53320_200705,FALSE
and ensuring that schools with a higher enrolment of students with English language needs will be allocated a higher number of teaching hours.,506,53520_200705,FALSE
As of April 2007 the income disregard for the carers allowance will be increased to €320(single) / €640(couple) per week.,504,53420_200705,FALSE
. These agreements make the Irish state – which purchases 85% of all drugs - pay a higher prices for both patented and generic drugs;,504,53231_201602,FALSE
We need a new National Energy Efficiency Action Plan to deliver such a level of efficiency gain for Ireland over the next decade.,501,53110_202002,FALSE
c) Provide guidance to judges in order to make it clear that economic crimes are to be met with significant consequences.,605,62110_200810,FALSE
"“Now more than ever we need European funding to support Wales’ economy and bring the jobs here that we need. Almost 200,000 jobs in Wales depend on the EU, that’s around 1 in 7 jobs, and trade between Wales and the EU is worth £5 billion. Plaid Cymru’s goal is for Wales to be an equal nation with all of the other full members of the European Union. Then we can make Wales a more prosperous nation.",NA,51901_201505,FALSE
"Reducing power prices for families, small businesses and communities",H,63620_201905,FALSE
"As this legislation is tabled in Parliament, we will launch broad public consultations, to engage and seek the input of Canadians and subject-matter experts.",202,62420_201510,FALSE
Introduce a specific scheme for offshore islands to incentivise and support the production of island-produced,301,53620_200705,FALSE
Every board shall publish before March of each year an annual report on  its own activities as opposed to the wider work of the state body.,303,53620_201102,FALSE
"Les groupes communautaires ainsi que les gouvernements provinciaux, territoriaux et locaux formulent des stratégies pour contrer la pauvreté et s’attaquer à des problèmes précis tels que le manque de logements abordables.",504,62420_201105,FALSE
"We will also rule that all parents must be made fully aware of the sex education teaching materials being used, before their children see it,",506,51951_201505,FALSE
"$300 million for better cancer centres across Australia, designed to bring cancer treatment closer to patients’ homes and including $60 million for 13 radiation therapy facilities in regional and rural areas;",504,63320_201905,FALSE
"Le Bloc Québécois considère important que le Canada préserve son alliance et ses liens d’amitié avec les États-Unis,",101,62901_200406,FALSE
Implement the Australian Antarctic Strategy and 20 Year Action Plan.,411,63810_202205,FALSE
Fine Gael is supporting those affected by pyrite.,504,53520_201602,FALSE
The Department will identify how to progressively and sustainably reduce third level fees.,506,53320_202002,FALSE
They do not stand by allies or stand strong against our foes.,305.1,61620_201611,FALSE
y compris de leurs droits ancestraux existants ou issus de traités reconnus par la Constitution canadienne actuelle.,301,62901_200810,FALSE
Ní hé seo an fhís a bhí acu siúd a thug a raibh acu ar son saoirse na hÉireann.,NA,53951_202002,FALSE
The Tasmanian Freight Equalisation Scheme aims to create an even playing field for Tasmanian businesses and consumers.,403,63621_202205,FALSE
"Australians believe that fair, open and competitive markets provide the best means of ensuring an open, dynamic, prosperous and equitable society.",403,63410_201309,FALSE
Transatlantic Cooperation,NA,53520_200705,FALSE
and charitable individuals.,505,61620_201611,FALSE
Australia’s vaccination rates are among the highest in the world.,504,63621_202205,FALSE
Ensure Government leads by example.,412,53320_201602,FALSE
"We’ll work to connect Canadians to farmers with initiatives like local food hubs, community supported agriculture, and networks to increase the amount of food that is sold, processed, and consumed in local and regional markets.",703.1,62320_201910,FALSE
We will prioritise the development of a functioning rural broadband infrastructure.,411,53981_201602,FALSE
"In 2020-21, $8.2 million was invested in multicultural media and a further $3.3 million in Indigenous media <96> around 8-per cent of the total government advertising spend.",607.1,63810_202205,FALSE
A Labour government will uphold those rights and meet those obligations.,201.2,51320_201912,FALSE
"Labour will make sure people who are ill and disabled receive the support they need to lead full, independent lives.",504,51320_201912,FALSE
"Que ce soit la canalisation du Saint-Laurent, la ligne Borden, le soutien aux industries des hydrocarbures, tout a contribué à priver l'économie québécoise d'une partie de ses moyens de développement.",602,62901_200601,FALSE
Launch a new harbour refurbishment and development programme under the National Development Plan (NDP) particularly to resource smaller and neglected harbours and to assist the diversification of the functions of harbours and small port facilities (including for tourism and recreation purposes).,703,53320_200705,FALSE
"However much of a waste of a life it might seem to keep someone locked up, if that is what it takes to keep others safe, we will keep them locked up”.",NA,51951_201706,FALSE
A Shorten Labor Government will invest $9.5 million to close the gap in Aboriginal and Torres Strait Islander vision loss.,607.3,63320_201607,FALSE
Australia is in the top 5 COVID-vaccinated countries.,601.1,63620_202205,FALSE
"In this climate, recorded disability hate crime has increased.",605.1,51320_201706,FALSE
"Nursing Home Support Scheme: Fine Gael will seek to address the anomalies in the Nursing Home Support Scheme such as the level of care services available under the Scheme, including physiotherapy, occupational therapy and chiropody for example.",504,53520_201102,FALSE
"Self-managed super funds would lose $12,000 a year.",403,63621_201905,FALSE
This should ensure the more effective monitoring of mobile phone services (which are particularly popular among teenagers and young people) which at present are open to exploitation by unscrupulous operators.,403,53320_200705,FALSE
Labor will bleed the Defence and national security budgets dry to pay for their economic mismanagement.,104,63810_202205,FALSE
"These include the United States,",101,51320_201505,FALSE
Our Plan,H,63621_202205,FALSE
Cheaper medicines.,504,63810_202205,FALSE
"Since the Coalition came to government, funding for NSW hospitals has grown from $4.3 billion in 2012-13 under Labor to an estimated $8.2 billion in 2022-23, and increasing to around $9.8 billion in 2025-26.",506,63621_202205,FALSE
In government we will:,NA,53620_200705,FALSE
That is why an elected Shorten Labor Government will strengthen the budget over the medium term through a fairer tax system and reducing tax concessions like negative gearing and capital gains.,503,63320_201607,FALSE
Introduced new criminal offences and mandatory reporting as part of our Ransomware Action Plan.,605.1,63810_202205,FALSE
and support progression.,411,51902_201706,FALSE
Moving Again.,NA,51903_201912,FALSE
We will pay for this by making multinationals pay their fair share and closing tax loopholes used by the top end of town.,506,63320_201905,FALSE
"While it is clear that the vast majority of expectant mothers enjoy a high standard of care across the country, it is also increasingly evident that our national maternity infrastructure is under strain.",504,53620_201602,FALSE
and innovative energy and climate resilience programs.,501,61320_202011,FALSE
Labour’s target is to cut rough sleeping to two-thirds of its 1998 level by 2002.,706,51320_200106,FALSE
This is not true.,607.1,51903_201706,FALSE
These include: $80 million for the Northern Adelaide Irrigation Scheme.,703.1,63320_201607,FALSE
President Obama and his party will set a record of being the first modern president ever to leave office without a single calendar year of three percent economic growth.,410,61620_202011,FALSE
"If we are to truly grasp the nettle of higher education reform, we must do so with a level of focus and dedication which has not been evident to date.",506,53620_202002,FALSE
— requires the United States to retake its natural position as leader of the free world.,109,61620_202011,FALSE
"This will increase support for the Canadian Olympic Agency and amateur athletes, as well as activities for school age children like the Awards of Excellence programs.",504,62623_200406,FALSE
The Queensland Competition Authority needs to implement a pricing framework that makes rail line usage a viable option for business.,411,63710_201905,FALSE
End the detention of LGBTIQ (and other) asylum seekers and the culture of disbelief that often denies them refugee status.,503,51110_201505,FALSE
"When you work hard, save and provision for the future, nothing should stand in the way of your freedom and independence.",504,63621_201905,FALSE
and to prevent catastrophic environmental degradation.,501,51620_201706,FALSE
"Building on this success, Sports Diplomacy 2030 was launched in 2019 to drive closer collaboration between Australian sporting codes, industry and government to enhance Australia's influence and advance our national interests.",502,63620_202205,FALSE
"The section below on adapting for climate impacts will also lower the costs of insurance premiums and health costs,",504,63110_202205,FALSE
THE NEW COMMON FISHERIES POLICY (CFP),H,53520_201602,FALSE
"We will take a smarter approach that allows the private sector to do its work, while focusing government investment on areas that are less commercially attractive.",401,62623_201910,FALSE
If you own your own home it will be worth less and if you rent you will pay more.,403,63621_201905,FALSE
Now is the time to invest.,410,62420_201510,FALSE
Labor’s plan to hit Australia’s 212 largest energy-using businesses with a sneaky carbon tax will drive up energy costs and destroy investment and jobs.,402,63621_202205,FALSE
"Avant de chercher à s’ingérer dans les domaines qui ne relèvent pas de lui, le gouvernement fédéral aurait tout intérêt à commencer à s’occuper convenablement des domaines qui relèvent de lui.",203,62901_200810,FALSE
Ending Violence Against Women 47,NA,61320_202011,FALSE
"Democrats will also fight for emergency funding for states to help make vote-from-home and vote-by-mail universally available during the pandemic,",202.1,61320_202011,FALSE
"As the WelshGovernment has responsibility for education, training and skills and the performance of the Welsh economy, it makes sense to integrate these with job-search functions.",301,51901_201505,FALSE
Higher education – Student Funding Guarantee,H,63320_201607,FALSE
Our Conservative Government has consistently supported all families – we think that's real fairness.,706,62623_201510,FALSE
"When people feel the DWP is more about harassment than a helping hand, something has gone seriously wrong.",503,51320_201912,FALSE
"UKIP remains committed to keeping the winter fuel allowance, free bus passes, prescriptions and eye tests for all over-60s, without means testing.",504,51951_201706,FALSE
"We will ask the Office of Financial Management to examine an Infrastructure Partnership Bonds Scheme to encourage billions of dollars of additional private investment in infrastructure projects, so that we can get more things done",411,63620_201309,FALSE
Investing in scientific operations in Antarctica not only supports Australia’s strategic national interests.,104,63620_202205,FALSE
"This will apply to electricity,",403,53520_200705,FALSE
"We will explore the best way to extend Illness Benefit and Carer’s Benefit to the self-employed, with a view to harnessing their entrepreneurship and providing a safety net, should they ever need it.",402,53520_202002,FALSE
"Farmers will benefit with the complete removal of tariffs of key exports such as dairy, beef, lamb, wine, horticulture and seafood.",703.1,63621_201607,FALSE
We will end this antagonism and work with our partners to advance our shared interests.,101,62420_201510,FALSE
"Under the Morrison Government, it’s getting harder and more expensive to go to uni.",506,63320_202205,FALSE
the LGBTIQ communities,503,51110_201505,FALSE
Invest $8.6 million to establish the National Closing the Gap Policy Partnership on Social and Emotional Wellbeing and help reduce the devastating impact of mental ill-health and suicide on Aboriginal and Torres Strait Islander people.,607.3,63621_202205,FALSE
"but will play into the foreign affairs space, allowing us to share our independent journalism with our partners as a form of diplomatic outreach.",107,63110_202205,FALSE
A Modern and Accountable Police Service,NA,53320_200705,FALSE
"Our Fair Deal on Energy delivers affordable, reliable, 24/7 power to Australian families, businesses and communities:A price safety net to protect loyal customers and help families and small businesses make empowered and informed decisions about their energy plans.",402,63810_201905,FALSE
A significant increase is required especially for Emergency Departments and for Community Intervention Teams,504,53620_201602,FALSE
We will fight for adequate quotas and ensure their fairer distribution amongst Irish fishermen.,110,53951_201602,FALSE
"we need to streamline environmental approvals – and stop the delays, complexities and uncertainties imposed by the Commonwealth and States;",402,63621_201309,FALSE
"The Conservatives boast about the recovery of employment, but our labour market is failing.",701,51320_201706,FALSE
"To meet this objective, we will also need decadal targets for sequestration in ecosystems and for reductions in methane and nitrous oxides so that they are substantially reduced to natural emissions fluxes for the Irish territory.",501,53110_202002,FALSE
"In this context, we will seek to alleviate as much as possible the burden of impending litigation from doctors and health care professionals.",303,53420_200705,FALSE
Our Vision,H,62110_200810,FALSE
"800,000 Australians are estimated to benefit from working part time, taking a salary while establishing their business.",402,63810_201905,FALSE
Contribute $250m for a national Truth and Justice Commission to investigate human rights abuses against First Nations people;,607.3,63110_202205,FALSE
$19.1 billion in our response plan to the Aged Care Royal Commission that we initiated.,504,63620_202205,FALSE
Our Record,H,63620_201905,FALSE
"By the same token, we defend the option for home schooling and call for vigilant enforcement of laws designed to protect family rights and privacy in education.",603,61620_200411,FALSE
Give communities the right to place pollution-monitoring equipment outside schools and hospitals.,501,51901_201912,FALSE
"According to Goldman Sachs, the amount of international capital to be invested in environmental technologies and clean energy has skyrocketed from $400 billion in 2003 to $3 trillion in 2006 – more than a seven- fold increase in just three years.",410,62420_200810,FALSE
USA aid currently stands at 0.2 per cent of GNI and this is what we will match.,109,51951_201505,FALSE
"Compte tenu du potentiel réel d’économie d’énergie, des mesures comme l’instauration de programmes d’encouragement aux énergies alternatives (géothermie, autoproduction éolienne, solaire passif et photovoltaïque), la mise sur pied d’évaluations énergétiques obligatoires, mais gratuites lors de toute demande de permis de rénovation d’une certaine importance ou encore des amendements au Code du bâtiment pour fixer des normes d’efficacité thermique dans les maisons plus vieilles et exiger la mise aux normes avant de délivrer tout permis de travaux de rénovation majeure pourraient être envisagées.",416,62901_200810,FALSE
Improve quality of accommodation with a Local Authority Quality Certificate,504,53620_201602,FALSE
11.4Sports and Recreation,H,53110_202002,FALSE
"We have repaired our borders, invested in our defence, deported violent criminals, and we have provided our security and intelligence agencies with the powers, resources and technology they need to keep Australians safe.",605.1,63621_201905,FALSE
"Far too many households, over 43% at last count, have to spend more than a tenth of their income on heating their home.",503,51621_201505,FALSE
Fine Gael -General Election Manifesto 2007,NA,53520_200705,FALSE
"We will increase maximum penalties for a range of crimes, including child sex offences.",605.1,63621_201905,FALSE
This equates to being around $50 a week better off in 2021-22.,701,63810_202205,FALSE
"We will recruit nearly 150,000 additional early years staff, including Special Educational Needs Co-ordinators,",701,51320_201912,FALSE
Providing services in a culturally sensitive manner,503,53951_202002,FALSE
