event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CHN14668,2024-02-12,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DAB: Democratic Alliance for the Betterment and Progress of Hong Kong,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 12 February 2024, around 10 representatives of the Democratic Alliance for the Betterment and Progress of Hong Kong held banners and placards outside the Consulate General of the United States, Hong Kong and Macau in Hong Kong - Central and Western. They demanded that the United States stops demonstrating its support for 'people who creates chaos for Hong Kong'. The demonstration came after Daniel Kritenbrink, the Assistant Secretary of State for East Asian and Pacific Affairs of the United States, had a meeting with four political activists who were wanted by the Hong Kong government for violating the national security law.",0,crowd size=around 10,1708472101
CHN14669,2024-02-12,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DAB: Democratic Alliance for the Betterment and Progress of Hong Kong; Government of China (2017-) Hong Kong Special Administrative Region,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 12 February 2024, representatives of the Democratic Alliance for the Betterment and Progress of Hong Kong, including Legislative Council members, held banners outside the government headquarters in Hong Kong - Central and Western. They demanded that the government enact policies to alleviate economic difficulties faced by residents and promote a sustainable economy.",0,crowd size=no report,1708472101
CHN14670,2024-02-11,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region; HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China); Women (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 11 February 2024, representatives of the Hong Kong Federation of Trade Unions and Love Hong Kong Alliance, including Legislative Council members, held banners and placards outside the government headquarters in Hong Kong - Central and Western. They demanded that the government give out more welfare benefits and enacts more maternity-friendly policies.",0,crowd size=no report,1708472101
CHN14659,2024-02-08,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Yau Tsim Mong,NA,Hong Kong - Yau Tsim Mong,22.3201,114.1692,1,Inmediahk.net,Subnational,"On 8 February 2024, at least five representatives of the Hong Kong Federation of Trade Unions held placards outside the West Kowloon Magistrate Court in Hong Kong - Yau Tsim Mong to demand refunds from Tatler Asia, after celebrity footballer Lionel Missel did not show up as a player as advertised in a football match that they organised.",0,crowd size=at least 5,1707858599
CHN14662,2024-02-08,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 8 February 2024, at least 10 representatives of the Protect Hong Kong Alliance, the Anti-Black Money, Anti-HK Independence Concern Group and the New Territories Association of Societies chanted slogans and held banners outside the Consulate General of the United States, Hong Kong and Macau in Hong kong - Central and Western. They demanded that the United States stops demonstrating its support for 'people who creates chaos for Hong Kong'. The demonstration came after Daniel Kritenbrink, the Assistant Secretary of State for East Asian and Pacific Affairs of the United States, had a meeting with four political activists who were wanted by the Hong Kong government for violating the national security law.",0,crowd size=at least 10,1707858599
CHN14658,2024-02-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DAB: Democratic Alliance for the Betterment and Progress of Hong Kong; HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 7 February 2024, around 20 representatives of the Democratic Alliance for the Betterment and Progress of Hong Kong and 12 members of the Hong Kong Federation of Trade Unions held banners outside the Consulate General of the United States, Hong Kong and Macau in Hong kong - Central and Western. They demanded that the United States stop demonstrating its support for 'people who create chaos for Hong Kong'. The demonstration came after Daniel Kritenbrink, the Assistant Secretary of State for East Asian and Pacific Affairs of the United States, had a meeting with four political activists who were wanted by the Hong Kong government for violating the national security law.",0,crowd size=around 32,1707858599
CHN14488,2024-01-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Yau Tsim Mong,NA,Hong Kong - Yau Tsim Mong,22.3201,114.1692,1,HK01,Subnational,"On 25 January 2024, six construction workers gathered to demonstrate and held banners in a construction site in Hong Kong - Yau Tsim Mong to demand wage arrears.",0,crowd size=6,1706649895
CHN14478,2024-01-19,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 19 January 2024, representatives of the Hong Kong Federation of Trade Unions held banners and gathered to demonstrate outside the government headquarters in Hong Kong - Central and Western. They demanded that the government grant Shenzhen residents multi-entry visas to boost tourism.",0,crowd size=no report,1706054119
CHN14480,2024-01-13,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),LSD: League of Social Democrats,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Yau Tsim Mong,NA,Hong Kong - Yau Tsim Mong,22.3201,114.1692,1,Inmediahk.net,Subnational,"On 13 January 2024, three representatives of the League of Social Democrats marched, chanting slogans and holding props and placards, in Hong Kong - Yau Tsim Wong. They demanded that the government build more boarding houses for adults with moderate intellectual disability.",0,crowd size=3,1706054119
CHN14477,2024-01-12,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DAB: Democratic Alliance for the Betterment and Progress of Hong Kong,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 12 January 2024, representatives of the Democratic Alliance for the Betterment of Hong Kong, the Anti-Black Money, Anti-HK Independence Concern Group, and Protect Hong Kong Alliance held placards and defaced the Union Jack flag, outside the British Consulate General Hong Kong in Hong Kong - Central and Western. They were dissatisfied that Rishi Sunak, prime minister of the United Kingdom, voiced his support for Lai Chi Ying, founder of Apple Daily, a prominent dissident tabloid media outlet shut down by the government. They said the move marked an inference into Hong Kong's rule of law.",0,crowd size=no report,1706054119
CHN14464,2024-01-10,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Wan Chai,NA,Hong Kong - Wan Chai,22.2776,114.175,1,HK01,Subnational,"On 10 January 2024, three construction workers held banners and placards on the edge of a balcony of a building in Hong Kong - Wan Chai to demand wage arrears.",0,crowd size=3,1705439365
CHN14468,2024-01-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HKFP,Subnational,"On 5 January 2024, a group gathered to sit with placards and banners outside the government headquarters in Hong Kong - Central and Western. This is part of a 25-day sit-in demonstration, starting from 5 January. The demonstrators demanded that the government grant the right of abode to mainland-born children belonging to Hong Kong-based parents.",0,crowd size=no report,1705439365
CHN14297,2024-01-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Wan Chai,NA,Hong Kong - Wan Chai,22.2776,114.175,1,Inmediahk.net,Subnational,"On 4 January 2024, around a hundred residents of a residential estate held placards outside the office of the Home Affairs Department in Hong Kong - Wan Chai. They were dissatisfied that representatives of the estate signed renovation contracts without consulting them and going through proper legal procedures.",0,crowd size=around 100,1704833911
CHN14292,2023-12-06,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Christian Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 6 December 2023, four representatives of Family Build in Love, a Christian group, put up a banner and held placards outside the government headquarters in Hong Kong - Central and Western to demand that the West Kowloon Cultural District stops leasing its land to organizers of Pink Dot, a LGBTQ+ advocacy event, scheduled to be on 10 December, which she said negatively impacts family values and reduces the number of people going to local elections, held on the same day.",0,crowd size=4,1702407964
CHN14291,2023-12-05,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Wan Chai,NA,Hong Kong - Wan Chai,22.2776,114.175,1,Inmediahk.net,Subnational,"On 5 December 2023, dozens of residents of a residential estate and representatives of the Property Owners Anti-bid Rigging Alliance held placards and banners outside the office of the Home Affairs Department in Hong Kong - Wan Chai. They were dissatisfied that representatives of the estate signed contracts to engage the services of a private security company and a cleaning company without consulting them and going through legal procedures, and they demanded that proper procedures to be followed.",0,crowd size=dozens,1702407964
CHN14289,2023-11-27,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),LSD: League of Social Democrats,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Eastern,NA,Hong Kong - Eastern,22.2821,114.2213,1,Ming Pao,Subnational,"On 27 November 2023, members of the League of Social Democrats held banners outside the court in Hong Kong - Eastern to demand that the government stop issuing them tickets for holding charity events and displaying banners without first applying to the government for approval, after they had set up booths on the street to express their opinions and solicit donations for their political party. In a span of three months, the party had set up street booths three times and had received a total of 26 tickets.",0,crowd size=no report,1701813035
CHN14287,2023-11-26,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Bauhinia Party,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Tai Po,NA,Hong Kong - Tai Po,22.4434,114.1646,1,HK01,Subnational,"On 26 November 2023, members of the Bauhinia Party held banners and placards in Hong Kong - Tai Po to demand that the government pardon teenagers who were prosecuted for their actions in pursuance to the Five Demands Movement in 2019 and 2020.",0,crowd size=no report,1701813035
CHN14018,2023-11-15,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 15 November 2023, representatives from 17 groups formed by taxi drivers, such as Hong Kong Tele-call Taxi Association, Sun Hing Taxi Radio Association, Taxi Drivers and Operators Association, Sun Star Taxi Operators Association and Taxi Dealers & Owners Association held banners and placards outside the government headquarters in Hong Kong - Central and Western. They were dissatisfied that the government did not enact policies to curb the use of Uber and other ride-hailing apps, which they said was detrimental their earnings.",0,crowd size=no report,1700602885
CHN14011,2023-11-06,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China); DAB: Democratic Alliance for the Betterment and Progress of Hong Kong; Government of China (2017-) Hong Kong Special Administrative Region,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 6 November 2023, around 30 representatives of the Hong Kong Federation of Trade Unions and around 20 representatives of the Democratic Alliance for the Betterment and Progress of Hong Kong, including at least six lawmakers, held banners and chanted slogans outside the Consulate General of the United States in Hong Kong - Central and Western. The protestors were dissatisfied that House Representatives of the United States filed a bill to impose sanctions on 49 Hong Kong government officials and court judges, citing that it amounted to an interference of the local judicial system and that it undermined China's national sovereignty.",0,crowd size=around 50,1699988482
CHN14013,2023-11-05,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01; Wen Wei Po,Subnational,"On 5 November 2023, representatives of Defend Hong Kong Campaign, Hong Kong Federation of Fujian Associations and other unspecified organizations, as well as at least 20 residents not affiliated with any group held banners and chanted slogans on different periods of the day outside the Consulate General of the United States in Hong Kong - Central and Western. Members of the Hong Kong Federation of Fujian Associations desecrated the United States flag and tore apart the petition letter, after nobody came out of the consulate to receive it. The protestors were dissatisfied that House Representatives of the United States filed a bill to impose sanctions on 49 Hong Kong government officials and court judges, citing that it amounted to an interference of the local judicial system and that it undermined China's national sovereignty. On the same day and at different points in time, lawmakers from the Hong Kong Federation of Trade Unions, Democratic Alliance for the Betterment and Progress of Hong Kong and the New People's Party also showed up alone or in groups of two outside the consulate to show their opposition.",0,crowd size=at least 20,1699988482
CHN14010,2023-11-04,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Christian Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Wan Chai,NA,Hong Kong - Wan Chai,22.2776,114.175,1,HK01,Subnational,"On 4 November 2023, around eight representatives of the 'Family Build in Love', a Christian organization, held placards and set up a booth outside the Queen Elizabeth Stadium in Hong Kong - Wan Chai, where some events of the Gay Games were held. They were in opposition of homosexuality.",0,crowd size=around 8,1699988482
CHN14014,2023-11-04,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Commercial Daily,Subnational,"On 4 November 2023, 12 representatives of the Hong Kong Island Federation held banners outside the Consulate General of the United States in Hong Kong - Central and Western. The protestors were dissatisfied that House Representatives of the United States filed a bill to impose sanctions on 49 Hong Kong government officials and court judges, citing that it amounted to an interference of the local judicial system and that it undermined China's national sovereignty.",0,crowd size=12,1699988482
CHN14016,2023-11-04,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HKFP,Subnational,"On 4 November 2023, five representatives of HK Anti-war Mobilization held signs and chanted slogans stating their support for Palestine and that the Israeli army destroyed Gaza near to the Israel consulate in Hong Kong - Central and Western.",0,crowd size=5,1699988482
CHN13874,2023-11-03,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DAB: Democratic Alliance for the Betterment and Progress of Hong Kong; Government of China (2017-) Hong Kong Special Administrative Region,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 3 November 2023, representatives of the Democratic Alliance for the Betterment and Progress of Hong Kong, including a lawmaker, held a banner outside the government headquarters in Hong Kong - Central and Western. They were dissatisfied that the Gay Games, an LGBTQ-friendly sports event hosted by Hong Kong in the same month, would negatively affect perceptions of family values among the youth.",0,crowd size=no report,1699385316
CHN14015,2023-11-03,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Ta Kung Pao,Subnational,"On 3 November 2023, residents held banners and chanted slogans outside the Consulate General of the United States in Hong Kong - Central and Western. The protestors were dissatisfied that House Representatives of the United States filed a bill to impose sanctions on 49 Hong Kong government officials and court judges, citing that it amounted to an interference of the local judicial system and that it undermined China's national sovereignty.",0,crowd size=no report,1699988482
CHN13867,2023-10-25,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),LSD: League of Social Democrats,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 25 October 2023, representatives of the League of Social Democrats held banners outside the government headquarters in Hong Kong - Central and Western. They demanded that the government enact democratic elections and release all political prisoners.",0,crowd size=no report,1698774969
CHN13869,2023-10-25,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 25 October 2023, representatives of the Hong Kong Federation of Trade Unions held banners outside the government headquarters in Hong Kong - Central and Western. They demanded that the government stops subcontracting its cleaning services to third-party providers and improves its current mechanism to review minimum wage.",0,crowd size=no report,1698774969
CHN13870,2023-10-24,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China); Government of China (2017-) Hong Kong Special Administrative Region,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 24 October 2023, representatives of the Hong Kong Federation of Trade Unions, including lawmakers, held banners and chanted slogans outside the government headquarters in Hong Kong - Central and Western. They demanded that the government enact policies to attract talent from around the world, especially from Mainland China.",0,crowd size=no report,1698774969
CHN13857,2023-10-17,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),LSD: League of Social Democrats,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Eastern,NA,Hong Kong - Eastern,22.2821,114.2213,1,Inmediahk.net,Subnational,"On 17 October 2023, at least four representatives of the League of Social Democrats held a banner and chanted slogans outside the Eastern Magistrates' Courts in Hong Kong - Eastern. They were dissatisfied that the government tried to censor them by prosecuting them for obstructing the street, after they had set up a booth to express their opinions.",0,crowd size=at least 4,1698180617
CHN13855,2023-10-15,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Third Side; Government of China (2017-) Hong Kong Special Administrative Region,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 15 October 2023, around 30 people, including a legislator from the centrist political party Third Side and representatives of disability rights groups, marched to the government headquarters in Hong Kong - Central and Western. They demanded that the government sets up a disability rights committee and enact laws that promote disability rights. Legislators have been providing policy suggestions to the Chief Executive of Hong Kong, who would be publishing his policy address for the next year on 25 October 2023.",0,crowd size=around 30,1698180617
CHN13849,2023-10-10,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Fishers (China); Government of China (2017-) Hong Kong Special Administrative Region; DAB: Democratic Alliance for the Betterment and Progress of Hong Kong; LP: Liberal Party (Hong Kong),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 10 October 2023, seven fishermen, including representatives of Hong Kong Fishermen's Youth Association and Hong Kong and Kowloon Fishermen Association, held banners and chanted slogans outside the government headquarters in Hong Kong - Central and Western to express dissatisfaction with the Japanese government's discharge of radioactive water from the Fukushima nuclear plant into the ocean, causing income losses to them as customers lost confidence in the fish they caught. Legislators of the Democratic Alliance for the Betterment and Progress of Hong Kong and the Liberal Party later also participated in the protest.",0,crowd size=at least 7,1697584398
CHN13836,2023-09-29,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China); HKFTU: Hong Kong Federation of Trade Unions,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 29 September 2023, around 10 representatives of the Association of Taxi Administrators and the Motor Transport Workers General Union, a subsidiary of Hong Kong Federation of Trade Unions held banners and chanted slogans outside the government headquarters in Hong Kong - Central and Western. They demanded that the government punishes taxi drivers who do not follow the relevant regulations.",0,crowd size=around 10,1696338636
CHN13835,2023-09-28,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Kowloon Federation of Associations; Government of China (2017-) Hong Kong Special Administrative Region,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 28 September 2023, a legislator and representatives of the Kowloon Federation of Associations held banners and placards outside the government headquarters in Hong Kong - Central and Western. They demanded that the government implements measures to tackle problems with housing and the public medical system.",0,crowd size=no report,1696338636
CHN13837,2023-09-28,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 28 September 2023, representatives of Youth Link held placards and banners outside the government headquarters in Hong Kong - Central and Western. They demanded that the government implements measures to promote family-friendly workplaces, urban redevelopment and elderly care in the Greater Bay Area.",0,crowd size=no report,1696338636
